"county","precinct","office","district","party","candidate","votes"
"Monroe","Greece 98","President",,,"Total votes",764
"Monroe","Greece 99","President",,,"Total votes",485
"Monroe","Greece 100","President",,,"Total votes",653
"Monroe","Greece 101","President",,,"Total votes",283
"Monroe","Greece 102","President",,,"Total votes",674
"Monroe","Greece 103","President",,,"Total votes",503
"Monroe","Greece 104","President",,,"Total votes",357
"Monroe","Greece 105","President",,,"Total votes",569
"Monroe","Greece 106","President",,,"Total votes",413
"Monroe","Greece 107","President",,,"Total votes",344
"Monroe","Greece 108","President",,,"Total votes",353
"Monroe","Greece 109","President",,,"Total votes",617
"Monroe","Hamlin 1","President",,,"Total votes",453
"Monroe","Hamlin 2","President",,,"Total votes",474
"Monroe","Hamlin 3","President",,,"Total votes",483
"Monroe","Hamlin 4","President",,,"Total votes",341
"Monroe","Hamlin 5","President",,,"Total votes",427
"Monroe","Hamlin 6","President",,,"Total votes",371
"Monroe","Hamlin 7","President",,,"Total votes",547
"Monroe","Hamlin 8","President",,,"Total votes",331
"Monroe","Hamlin 9","President",,,"Total votes",283
"Monroe","Hamlin 10","President",,,"Total votes",509
"Monroe","Henrietta 1","President",,,"Total votes",533
"Monroe","Henrietta 2","President",,,"Total votes",422
"Monroe","Henrietta 3","President",,,"Total votes",320
"Monroe","Henrietta 4","President",,,"Total votes",509
"Monroe","Henrietta 5","President",,,"Total votes",459
"Monroe","Henrietta 6","President",,,"Total votes",435
"Monroe","Henrietta 7","President",,,"Total votes",355
"Monroe","Henrietta 8","President",,,"Total votes",434
"Monroe","Henrietta 9","President",,,"Total votes",374
"Monroe","Henrietta 10","President",,,"Total votes",436
"Monroe","Henrietta 11","President",,,"Total votes",427
"Monroe","Henrietta 12","President",,,"Total votes",412
"Monroe","Henrietta 13","President",,,"Total votes",728
"Monroe","Henrietta 14","President",,,"Total votes",425
"Monroe","Henrietta 15","President",,,"Total votes",560
"Monroe","Henrietta 16","President",,,"Total votes",302
"Monroe","Henrietta 17","President",,,"Total votes",489
"Monroe","Henrietta 18","President",,,"Total votes",525
"Monroe","Henrietta 19","President",,,"Total votes",396
"Monroe","Henrietta 20","President",,,"Total votes",745
"Monroe","Henrietta 21","President",,,"Total votes",349
"Monroe","Henrietta 22","President",,,"Total votes",643
"Monroe","Henrietta 23","President",,,"Total votes",472
"Monroe","Henrietta 24","President",,,"Total votes",573
"Monroe","Henrietta 25","President",,,"Total votes",394
"Monroe","Henrietta 26","President",,,"Total votes",856
"Monroe","Henrietta 27","President",,,"Total votes",731
"Monroe","Henrietta 28","President",,,"Total votes",510
"Monroe","Henrietta 29","President",,,"Total votes",1430
"Monroe","Henrietta 30","President",,,"Total votes",1057
"Monroe","Henrietta 31","President",,,"Total votes",324
"Monroe","Henrietta 32","President",,,"Total votes",668
"Monroe","Henrietta 33","President",,,"Total votes",347
"Monroe","Henrietta 34","President",,,"Total votes",310
"Monroe","Henrietta 35","President",,,"Total votes",635
"Monroe","Irondequoit 1","President",,,"Total votes",655
"Monroe","Irondequoit 2","President",,,"Total votes",325
"Monroe","Irondequoit 3","President",,,"Total votes",519
"Monroe","Irondequoit 4","President",,,"Total votes",218
"Monroe","Irondequoit 5","President",,,"Total votes",444
"Monroe","Irondequoit 6","President",,,"Total votes",648
